,place,magnitude,time
83,Nevada,-0.3,Sat Jan  6 10:45:07 45973
84,"5km NW of The Geysers, California",0.52,Mon Jan  1 13:39:10 45973
85,"5km S of Wofford Heights, CA",0.68,Sat Dec 30 18:58:30 45972
86,"152km SSE of Tok, Alaska",1.3,Mon Dec 25 12:51:39 45972
87,"6km WSW of Mammoth Lakes, California",0.56,Fri Dec 22 18:13:40 45972
88,"3km NW of The Geysers, California",0.53,Wed Dec 20 19:05:00 45972
89,Nevada,-0.2,Wed Dec 20 03:35:28 45972
90,"7km WSW of Mammoth Lakes, California",0.34,Tue Dec 19 02:44:20 45972
91,"10km W of Mammoth Lakes, California",0.37,Tue Dec 19 01:10:10 45972
92,"19km W of Mammoth Lakes, California",0.81,Mon Dec 18 21:32:40 45972
93,"9km N of Cabazon, CA",1.44,Mon Dec 11 15:24:30 45972
94,"8km NNW of Anza, CA",0.35,Sat Dec  9 00:17:10 45972
95,"4km S of Wofford Heights, CA",1.1,Tue Dec  5 15:58:10 45972
96,"46km ESE of Farallon de Pajaros, Northern Mariana Islands",4.7,Mon Dec  4 10:50:10 45972
97,"6km W of Cobb, California",0.85,Mon Dec  4 05:23:00 45972
98,"10km SSW of Idyllwild, CA",-0.05,Mon Nov 27 03:22:30 45972
99,"2km WSW of Wauna, Washington",1.43,Thu Nov 23 01:27:00 45972
100,"64km SE of Tanaga Volcano, Alaska",3.6,Tue Nov 21 04:43:00 45972
101,"9km NW of The Geysers, California",1.98,Mon Nov 20 11:41:20 45972
102,"7km NNW of Cabazon, CA",0.93,Tue Nov 14 00:09:20 45972
103,"34km N of Nikiski, Alaska",1.6,Wed Nov  8 23:05:17 45972
104,"119km W of Cantwell, Alaska",1.4,Wed Nov  8 10:45:42 45972
105,"6km WSW of Calipatria, CA",1.22,Tue Nov  7 05:31:50 45972
106,"17km SSE of Pahala, Hawaii",2.2,Tue Oct 31 22:25:00 45972
107,"10km WNW of Cobb, California",1.03,Mon Oct 30 13:59:20 45972
108,"22km S of Sequim, Washington",0.19,Sun Oct 29 17:26:40 45972
109,"10km SSE of Pole Ojea, Puerto Rico",1.4,Fri Oct 27 11:41:40 45972
110,"21km ESE of Pospelikha, Russia",4.6,Fri Oct 27 00:17:40 45972
111,"23km E of Shingletown, California",0.51,Wed Oct 18 01:01:40 45972
112,"3km S of San Juan Bautista, California",1.03,Tue Oct 17 17:50:40 45972
113,"5km W of Cobb, California",0.53,Tue Oct 10 00:03:00 45972
114,"17km S of Volcano, Hawaii",1.3,Sat Oct  7 04:21:40 45972
115,Northern California,0.57,Fri Oct  6 16:32:30 45972
116,"55km NW of Abra Pampa, Argentina",4.9,Tue Oct  3 15:19:40 45972
117,"1km NE of Shandon, California",1.03,Mon Oct  2 05:40:20 45972
118,"63km S of Tecoanapa, Mexico",4.2,Fri Sep 29 00:56:30 45972
119,"32km W of Sola, Vanuatu",6.5,Tue Sep 26 04:03:20 45972
120,"4km S of Wofford Heights, CA",0.96,Fri Sep 22 14:53:20 45972
121,"5km SSW of Wofford Heights, CA",3.02,Thu Sep 14 21:54:20 45972
122,"20km ESE of Anza, CA",0.4,Thu Sep 14 20:07:10 45972
123,"85km ENE of Cantwell, Alaska",2.1,Thu Sep 14 00:39:53 45972
124,"Long Valley area, California",-0.12,Mon Sep 11 10:35:50 45972
125,"102km ESE of Akutan, Alaska",2.3,Wed Sep  6 05:27:28 45972
126,"106km ESE of Manay, Philippines",4.3,Fri Sep  1 23:54:10 45972
127,"1km NNW of The Geysers, California",1.31,Sun Aug 27 06:45:50 45972
128,"61km WNW of Port-Vila, Vanuatu",4.6,Fri Aug 25 10:48:50 45972
129,"16km WNW of West Bishop, California",0.73,Wed Aug  9 07:11:00 45972
130,"24km WSW of Smith Valley, Nevada",0.6,Thu Aug  3 06:26:19 45972
131,"7km WNW of Cobb, California",0.68,Wed Aug  2 19:37:50 45972
132,"21km ESE of Takahagi, Japan",4.9,Sat Jul 29 19:22:50 45972
133,East of the North Island of New Zealand,4.9,Tue Jul 18 10:20:00 45972
134,"17km SW of Chester, California",1.42,Wed Jul 12 09:24:40 45972
135,"109km NW of Talkeetna, Alaska",1.3,Mon Jul 10 01:19:08 45972
136,"40km SE of Emajagua, Puerto Rico",2.2,Sun Jul  9 17:48:20 45972
137,"11km NE of Coso Junction, CA",-0.07,Sun Jul  9 02:24:20 45972
138,"186km SSE of Atka, Alaska",2.5,Sat Jul  8 12:09:19 45972
139,"107km NW of Talkeetna, Alaska",1.6,Fri Jul  7 14:03:10 45972
140,"27km W of Finschhafen, Papua New Guinea",4.0,Wed Jun 28 12:23:10 45972
141,"18km NW of Coso Junction, CA",0.52,Wed Jun 28 10:39:20 45972
142,Southern Alaska,0.3,Wed Jun 28 05:22:24 45972
143,"3km W of Cobb, California",1.38,Sun Jun 25 11:28:50 45972
144,"78km NW of Nikiski, Alaska",0.4,Thu Jun 22 19:43:20 45972
145,"53km ENE of Valdez, Alaska",1.7,Thu Jun 22 14:23:09 45972
146,"13km WNW of Rincon, Puerto Rico",2.5,Mon Jun 19 01:31:40 45972
147,"28km WSW of Ester, Alaska",1.7,Fri Jun 16 01:44:40 45972
148,"2km SSE of Ladera, California",0.36,Thu Jun 15 23:48:50 45972
149,"56km SSE of Akutan, Alaska",2.4,Wed Jun 14 11:49:51 45972
150,"118km SE of Adak, Alaska",1.8,Thu Jun  8 20:51:34 45972
151,"16km NNE of Angwin, California",0.93,Thu Jun  1 19:30:30 45972
152,"25km WSW of Y, Alaska",2.0,Thu May 25 12:17:13 45972
153,"88km SSW of Masachapa, Nicaragua",4.6,Wed May 24 01:14:00 45972
154,"6km W of Middletown, California",0.43,Mon May  8 03:31:10 45972
155,"Andreanof Islands, Aleutian Islands, Alaska",1.8,Tue May  2 01:15:28 45972
156,"8km ENE of Coso Junction, CA",0.38,Sat Apr 22 23:05:00 45972
157,"80km NW of Agrihan, Northern Mariana Islands",4.1,Wed Apr 19 12:40:50 45972
158,"5km WNW of The Geysers, California",1.25,Tue Apr 18 18:40:30 45972
159,"15km SE of Fredonia, Arizona",1.79,Mon Apr 17 21:59:00 45972
160,"29km SW of Lima, Montana",1.4,Sun Apr 16 01:25:00 45972
161,"10km NE of Coso Junction, CA",0.75,Tue Apr 11 10:08:50 45972
162,"19km E of Kelso, Washington",0.43,Tue Apr 11 01:35:00 45972
163,"6km NW of The Geysers, California",0.27,Tue Apr  4 19:52:20 45972
164,"15km E of Little Lake, CA",0.16,Wed Mar 22 21:18:20 45972
165,"1km NNE of The Geysers, California",0.87,Mon Mar 20 22:46:40 45972
166,"280km ENE of Dili, East Timor",4.2,Thu Mar 16 11:50:50 45972
167,"9km NNE of Banning, CA",0.26,Thu Mar 16 10:58:30 45972
168,"121km ESE of Bitung, Indonesia",4.1,Sun Mar 12 03:23:40 45972
169,"181km E of Chitina, Alaska",1.4,Sun Mar  5 23:40:13 45972
170,"156km NE of Calama, Chile",4.0,Sun Mar  5 09:53:30 45972
171,West Chile Rise,4.6,Sun Mar  5 01:04:10 45972
172,"69km NNW of Visokoi Island, ",4.4,Fri Feb 25 05:16:50 45972
173,"13km SSW of Lakeport, California",1.14,Tue Feb 22 12:20:10 45972
174,"Andreanof Islands, Aleutian Islands, Alaska",1.7,Sun Feb 20 18:40:08 45972
175,"73km N of Talkeetna, Alaska",1.4,Thu Feb 17 17:54:59 45972
176,"82km SSE of Akutan, Alaska",2.5,Thu Feb 17 14:06:40 45972
177,"17km E of Hawthorne, Nevada",0.0,Thu Feb 17 06:53:58 45972
178,"10km WNW of Garnet, CA",0.72,Mon Feb 14 22:10:40 45972
179,"17km NNE of Old Faithful Geyser, Wyoming",1.28,Mon Feb  7 14:54:10 45972
180,"5km WSW of Mammoth Lakes, California",0.1,Mon Feb  7 05:08:20 45972
181,"18km NNE of Old Faithful Geyser, Wyoming",1.79,Sat Feb  5 07:06:50 45972
182,Nevada,-0.3,Tue Feb  1 19:11:37 45972
183,"46km WSW of Amatignak Island, Alaska",2.6,Tue Feb  1 07:48:30 45972
184,"97km SSW of Banda Aceh, Indonesia",4.0,Tue Jan 25 04:58:20 45972
185,"45km NW of Willow, Alaska",1.3,Sat Jan 22 02:52:04 45972
186,"117km SE of Adak, Alaska",2.9,Mon Jan 17 14:05:20 45972
187,"5km NW of The Geysers, California",1.99,Sat Jan 15 08:14:10 45972
188,"10km WNW of Cobb, California",0.55,Wed Jan 12 23:29:10 45972
189,"0km SSW of Orange, CA",1.36,Wed Jan 12 10:18:30 45972
190,"6km W of Cobb, California",0.73,Tue Jan 11 00:25:50 45972
191,"8km SW of Cantwell, Alaska",1.8,Mon Jan  3 17:51:39 45972
192,"Andreanof Islands, Aleutian Islands, Alaska",1.9,Sat Jan  1 11:57:38 45972
193,"74km W of Willow, Alaska",1.8,Mon Dec 27 20:53:39 45971
194,"89km NW of San Antonio, Puerto Rico",3.2,Sun Dec 26 00:21:40 45971
195,"36km N of Talkeetna, Alaska",1.5,Sat Dec 25 14:39:20 45971
