,url,text,stand,zuständig,geschäftsart,status
965,/gast/geschaefte/326,Änderung des Gesetzes über den Entschädigungsfonds für Tierverluste und Aufhebung des Gesetzes betreffend Entschädigung für ungeniessbares Fleisch bei Rindviehhaltung,Datenmigration,,Gesetz,abgeschlossen
966,/gast/geschaefte/325,Gültigkeit der stillen Wahl eines Mitgliedes des Obergerichtes,Datenmigration,,Wahlen,abgeschlossen
967,/gast/geschaefte/324,Als Postulat überwiesene Motion von Beni Riedi und Thomas Aeschi betreffend Strafvollzug im Kanton Zug,Datenmigration,,Postulat,abgeschlossen
968,/gast/geschaefte/323,"Gesetz über Geoinformation im Kanton Zug (Geoinformationsgesetz, GeoIG-ZG)",Datenmigration,,Gesetz,abgeschlossen
969,/gast/geschaefte/322,Postulat von Karl Nussbaumer und Thomas Werner betreffend Autos und Sozialhilfe,Erledigterklärung,Direktion des Innern,Postulat,abgeschlossen
970,/gast/geschaefte/321,Kantonsratsbeschluss betreffend zweiten Rahmenkredit zur Förderung von Massnahmen für geringeren Energiebedarf (KRB Energiebeiträge II),Genehmigung Schlussabrechnung pendent,Baudirektion,Kantonsratsbeschluss (referendumsfähig),hängig
971,/gast/geschaefte/320,Kantonsratsbeschluss betreffend Bewilligung eines Budgetkredits für die Funkerschliessung mit POLYCOM,Genehmigung Schlussabrechnung pendent,Sicherheitsdirektion,Kantonsratsbeschluss (nicht referendumsfähig),hängig
972,/gast/geschaefte/319,Interpellation von Daniel Stadlin betreffend Wasserqualität der Oberen Lorze zwischen Neuägeri und ehemaliger Spinnerei Baar,Datenmigration,,Interpellation,abgeschlossen
973,/gast/geschaefte/318,Motion von Manuel Brandenberg und Philip C. Brunner betreffend Verbot von Sexualunterricht an den öffentlichen Schulen,Datenmigration,,Motion,abgeschlossen
974,/gast/geschaefte/317,Motion von Alois Gössi und Zari Dzaferi betreffend Leitung des Kantonsrates bei der Konstituierung,Datenmigration,,Motion,abgeschlossen
975,/gast/geschaefte/316,Rechenschaftsbericht des Obergerichts für das Jahr 2010,Datenmigration,,Verschiedenes,abgeschlossen
976,/gast/geschaefte/315,"Kantonsratsbeschluss betreffend Freigabe eines Objektkredites für das Projekt Bustrassee Unterführung Sumpf, Teilstrecke Knoten Chamerried bis Knoten Steinhauser-/ Chollerstrasse, Gemeinden Cham, Steinhausen und Zug",Genehmigung Schlussabrechnung pendent,Baudirektion,Kantonsratsbeschluss (referendumsfähig),hängig
977,/gast/geschaefte/314,"Kantonsratsbeschluss betreffend Freigabe eines Objektkredites für das Projekt Kantonsstrasse F, Alte Steinhauser-/Hinterbergstrasse, Teilstrecke Knoten Alpenblick bis Knoten Chamerried, Gemeinde Cham",Datenmigration,,Kantonsratsbeschluss (nicht referendumsfähig),abgeschlossen
978,/gast/geschaefte/313,Interpellation der Alternativen Grünen Fraktion und der SP-Fraktion betreffend Ausstieg aus der gefährlichen und teuren Atomenergie,Datenmigration,,Interpellation,abgeschlossen
979,/gast/geschaefte/312,Kantonsratsbeschluss betreffend Objektkredit für bauliche und sicherheitstechnische Massnahmen in der Burg Zug,Schlussabstimmung,Baudirektion,Kantonsratsbeschluss (referendumsfähig),abgeschlossen
